,,,,"Nearest CO2 source > 25,000 tonne/year",,Nearest CO2 source,,Nearest CO2 source**,,Presence - Yes or No,,,,,,,,Number per grid,,,,,,,,,,,Numerical Attribute Scores (Additive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General scores via Scenarios,,,,Quartiles for Scenarios,,,
Grid Labeling,,Centroid,,,,Source to Sink,,45Q updated,,,,,,,,,,Leakage,,,Infrastructure,,,,Development,,,Relevant Plays per Grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid FID,Grid ID,"Longitude
(degrees)","Latitude
(degrees)",CO2 Source ID (tied to NATCARB dataset)*,Distance (km),CO2 Source ID (tied to NATCARB dataset),Distance (km),CO2 Source ID (tied to NATCARB dataset),Distance (km),Caisson Platform,Fixed Platform,Well Protector Platform,Pipeline,Fault,Salt dome,Shipping Route (w/5 MI Buffer),Shipping Route (w/10 mi Buffer),Fault,Active Wells,P&A Wells,Caisson Platform,Major Platform,Well Protector Platform,Pipeline,Salt dome,EOR Wells,Shipping Route (w/10 mi Buffer),Number of plays,(SUM) Injectivity W Depth - (kh),"(SUM) Quality W/O Depth - ([h x E]/[1,000 feet to reservoir bottom])",Capacity per Grid - (million tonnes),Water Depth - (feet),Average Calculated Water Depth - (feet),"(SUM) Hydrocarbon Potential W/O Depth - ([h x So]/[1,000 feet to reservoir bottom])",Recoverable Oil (barrels)/acre foot,(Sum) Projected Remaining OIP - (barrels),New Injectivity (mD/MPa °K),Subsea Depth - (feet),Average Calculated Subsea Depth of Reservoirs - (feet),Sum of injectivity proxy - (kh),"Sum of hydrocarbon potential - ([h x So]/[1,000 feet to reservoir bottom])",Sum of recoverable oil per acre-foot,Projected remaining oil in place (barrels),Pipeline ROW proxy,Density of active caisson platform infrastructure,Density of active well protector platform infrastructure,Density of major active multi-purpose platform infrastructure- major,Distance to closest on-shore CO2 source > 25000 tonnes,Within major shipping route buffer area,Subsea depth - Saline Reservoirs,Water depth - Saline Reservoirs,Subsea depth - Oil Reservoirs,Water depth - Oil Reservoirs,Above salt domes,Active Well Density,P&A Well Density,Faults,Sum of Reservoir Quality W/O Depth (feet),New Injectivity,S1,S2,S3,S4,S1,S2,S3,S4
6,36707,-96.82108464,26.0003415,1671,70.43048359,860,54.00276216,286,140.73833,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,5,31.9,2932.66,2739,730.58,146.116,0,0,0,16089607.61,29958,5991.6,7.7182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,56.5824,100.0000,64.7705,64.8147,64.7705,64.8147,0.0000,100.0000,100.0000,0.0000,9.1271,12.3958,33.3311058,,15.24099637,,0-25%,,0-25%,
7,36710,-96.7496004,26.0003415,1671,77.53107498,860,61.15369224,286,147.5584622,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,4,24.77,2236.34,2102,708.18,177.045,0,0,0,13795828.89,17431,4357.75,5.9245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.3604,100.0000,84.9697,55.2884,84.9697,55.2884,0.0000,100.0000,100.0000,100.0000,6.7922,10.4760,35.11280649,,19.00822679,,0-25%,,0-25%,
8,36711,-96.67811615,26.0003415,1671,84.63972033,860,68.30646439,286,154.4079613,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,4,24.77,2236.34,2102,708.18,177.045,0,0,0,13795828.89,17431,4357.75,5.9245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.1504,100.0000,84.9697,55.2884,84.9697,55.2884,0.0000,100.0000,100.0000,0.0000,6.7922,10.4760,30.39180616,,15.28722646,,0-25%,,0-25%,
9,36712,-96.89256889,26.07182575,1671,64.69272284,860,47.97806624,286,131.5892603,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,5,31.9,2932.66,2739,730.58,146.116,0,0,0,16089607.61,29958,5991.6,7.7182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.8557,100.0000,64.7705,64.8147,64.7705,64.8147,0.0000,100.0000,99.5798,100.0000,9.1271,12.3958,37.95003469,,18.83891686,,0-25%,,0-25%,
10,36713,-96.82108464,26.07182575,1671,71.648888,860,54.97646048,286,138.4872724,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,3,5,31.9,2932.66,2739,730.58,146.116,0,0,0,16089607.61,29958,5991.6,7.7182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.6655,100.0000,64.7705,64.8147,64.7705,64.8147,0.0000,100.0000,99.5798,0.0000,9.1271,12.3958,33.23101043,,15.1198926,,0-25%,,0-25%,
11,36714,-96.89256889,26.14330999,1671,66.78666361,860,50.33770251,286,129.6677886,0,0,1,1,0,0,0,1,0,2,5,0,0,1,1,0,0,3,5,31.9,2932.66,2739,730.58,146.116,0,0,0,16089607.61,29958,5991.6,7.7182,0.0000,0.0000,0.0000,100.0000,0.0000,20.0000,0.0000,52.0731,0.0000,64.7705,64.8147,64.7705,64.8147,0.0000,99.5506,97.8992,100.0000,9.1271,12.3958,54.83815422,,40.64300277,,25-50%,,25-50%,
12,36715,-96.82108464,26.14330999,1671,73.54504197,860,57.04352742,286,136.658663,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,5,31.9,2932.66,2739,730.58,146.116,0,0,0,16089607.61,29958,5991.6,7.7182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.9206,0.0000,64.7705,64.8147,64.7705,64.8147,0.0000,100.0000,100.0000,0.0000,9.1271,12.3958,30.16492931,,15.07481988,,0-25%,,0-25%,
13,36716,-96.7496004,26.07182575,1671,78.63954299,860,62.01120125,286,145.4089069,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,5,31.9,2932.66,2739,730.58,146.116,0,0,0,16089607.61,29958,5991.6,7.7182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.4849,100.0000,64.7705,64.8147,64.7705,64.8147,0.0000,100.0000,100.0000,100.0000,9.1271,12.3958,38.52135174,,19.43124231,,0-25%,,0-25%,
14,36717,-96.67811615,26.07182575,1671,85.65624548,860,69.07118223,286,152.3509442,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,4,24.77,2236.34,2102,708.18,177.045,0,0,0,13795828.89,17431,4357.75,5.9245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.3126,100.0000,84.9697,55.2884,84.9697,55.2884,0.0000,100.0000,100.0000,0.0000,6.7922,10.4760,30.30801797,,15.20343827,,0-25%,,0-25%,
15,36718,-96.7496004,26.14330999,1671,80.37093858,860,63.84702936,286,143.6642514,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,31.9,2932.66,2739,730.58,146.116,0,0,0,16089607.61,29958,5991.6,7.7182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.7742,0.0000,64.7705,64.8147,64.7705,64.8147,0.0000,100.0000,100.0000,100.0000,9.1271,12.3958,35.45028694,,19.36017751,,0-25%,,0-25%,
