Name,Densities,Leakage,Reservoir thickness (Gross),Seal thickness,Depth,Temperature,Pressure,Trapmech_structural,Trapmech_stratigraphic,Structural_fault,Structural_anticline,Faultbound_yes,Faultbound_nan,Res_sandstone,Res_carbonates,Res_other,Carbonate_limestone,Carbonate_dolomite,Seal_shale,Seal_evaporite,Seal_other,Stacked_yes,Stacked_nan
Zaizhuangzi field,480.0,0.0,50.0,200.0,2050.0,77.0,226.4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Youaicun Field,519.1,0.0,63.0,190.0,2227.0,93.0,261.6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Dazhongwang WG1,569.9,0.0,20.0,100.0,2488.5,100.0,271.6,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Gaoquing Field,237.8,0.0,10.0,240.0,822.5,45.0,71.34,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Yang 25 Field,585.2,0.0,50.0,800.0,2799.0,110.0,293.6,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Balipo Field,605.6,0.0,360.0,150.0,2650.0,99.80000000000001,274.8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Pingnan,549.0,0.0,110.0,100.0,2115.0,85.0,226.4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Hua 17 Field,513.7,0.0,25.0,100.0,1985.0,90.0,209.4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Huangquiao Field,661.0,0.0,200.0,800.0,1700.0,61.75,210.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Huanchang 3-4 Field,693.5,0.0,444.0,960.0,3350.0,100.0,407.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Wanjinta Field,214.3,0.0,50.0,100.0,923.0,50.0,81.7,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Qian'an,488.0,0.0,30.0,150.0,2124.0,102.5,226.4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Changling Field,498.1,0.0,406.0,960.0,3300.0,160.0,338.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ladbroke Grove Field,565.1,0.0,184.0,246.0,2474.0,105.0,249.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Tuna field,525.6,0.0,160.0,280.0,2500.0,115.0,250.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Garvoc-1,516.3,0.0,25.0,200.0,1374.35,75.0,162.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Boggy Creek,636.6,0.0,83.5,150.0,1667.5,68.3,184.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Gudian ,656.9,0.0,141.0,220.0,1242.5,54.5,168.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.4,0.2
"Turaco, Albertine Graben",769.4,0.0,166.0,266.0,2500.0,87.66704310344828,288.8,0.8,0.2,0.4,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,1.0,0.0
DF29-1,465.2,0.0,80.0,300.0,1837.0,92.0,186.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
L22-1,423.8,0.0,121.7,300.0,1498.0,78.0,138.8,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Kalangadoo 1,779.0,0.0,71.0,190.0,2093.95,87.66704310344828,253.6,1.0,0.0,0.6,0.2,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.4,0.0,0.0,0.0
W961,618.4,0.0,90.0,500.0,3890.45,148.0,491.6,1.0,0.2,0.2,0.4,0.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.2
